algorithm,battery_capacity_seconds,completed_job_ratio,coverage_ratio,cpu_cycles_per_second,energy_per_cpu_cycle,horizon_sec,parameter_key,parameter_label,parameter_value,satellite_solar_panel_power_watts,slot_len,slots,task_average_deadline,task_average_execution,task_average_period,time_slot_length,wall_clock_sec
random,0.5,0.1498015873015873,0.3413139594900696,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),10,10,60,60,30,50,220,60,0.008593999999995106
maxflow_preflow_push,0.5,0.42857142857142855,0.4817635846179343,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),11,11,60,60,30,50,220,60,0.712389083000005
energy_first,0.5,0.42757936507936506,0.46803365131325025,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),11,11,60,60,30,50,220,60,0.009365250000001879
edf,0.5,0.29464285714285715,0.33233239905648554,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),11,11,60,60,30,50,220,60,0.007349333000000513
random,0.5,0.32837301587301587,0.3637731197871825,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),11,11,60,60,30,50,220,60,0.008621749999996098
maxflow_preflow_push,0.5,0.4742063492063492,0.5201008206362319,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),12,12,60,60,30,50,220,60,0.5925735840000002
energy_first,0.5,0.42757936507936506,0.48376136976034384,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),12,12,60,60,30,50,220,60,0.009374166999997158
edf,0.5,0.29464285714285715,0.3616333944370301,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),12,12,60,60,30,50,220,60,0.007334666999994965
random,0.5,0.32837301587301587,0.38089191721225096,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),12,12,60,60,30,50,220,60,0.008779042000000459
maxflow_preflow_push,0.5,0.5059523809523809,0.5493818443772087,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),13,13,60,60,30,50,220,60,0.536139833
energy_first,0.5,0.42757936507936506,0.49920519284364145,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),13,13,60,60,30,50,220,60,0.009359916999997608
edf,0.5,0.29464285714285715,0.3909060002811892,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),13,13,60,60,30,50,220,60,0.007435541999996076
random,0.5,0.32837301587301587,0.39784984059783285,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),13,13,60,60,30,50,220,60,0.008720541999998943
maxflow_preflow_push,0.5,0.5317460317460317,0.5703626490835483,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),14,14,60,60,30,50,220,60,0.5462116250000051
energy_first,0.5,0.42757936507936506,0.5146490159269438,10000000000.0,1e-08,3600,satellite_solar_panel_power_watts,Solar panel power (W),14,14,60,60,30,50,220,60,0.00929329199999529
